Unnamed: 0,Equation Number,eqn,soln,metrics
95,121,"(1x - 2) = ((-3) + 4x)
","(1x - 2) = ((-3) + 4x)
|((1x - 2) + 2) = (((-3) + 4x) + 2)|((1x + (-2)) + 2) = (((-3) + 4x) + 2)|1x = (((-3) + 4x) + 2)|1x = ((4x + (-3)) + 2)|1x = (4x + ((-3) + 2))|-3x = (((-3) + 2) + 0)|-3x = (-1)|x = [1/3]",16
96,122,"-1x = (((-2) + 3x) + 4)
","-1x = (((-2) + 3x) + 4)
|-1x = ((3x + (-2)) + 4)|-1x = (3x + ((-2) + 4))|-4x = (((-2) + 4) + 0)|-4x = 2|x = ([-1/2])",9
97,123,"(-1) = ((-2) + 3x)
","(-1) = ((-2) + 3x)
|(-1) = (3x + (-2))|(3x + (-2)) = (-1)|3x = 1|x = [1/3]",7
98,124,"(1x + 2) = (-3)
","(1x + 2) = (-3)
|x = (-5)",2
99,126,"(1x + 2) = (-3x + (-4))
","(1x + 2) = (-3x + (-4))
|((1x + 2) - 2) = ((-3x + (-4)) - 2)|1x = ((-3x + (-4)) - 2)|1x = (-3x + ((-4) - 2))|4x = (((-4) - 2) + 0)|4x = (-6)|x = ([-3/2])",14
100,128,"(-1x + 2) = (3 + 4x)
","(-1x + 2) = (3 + 4x)
|(-1x + 2) = (4x + 3)|((-1x + 2) - 2) = ((4x + 3) - 2)|-1x = ((4x + 3) - 2)|-1x = (4x + (3 - 2))|-5x = ((3 - 2) + 0)|-5x = 1|x = ([-1/5])",15
101,129,"1 = (2x - 3x)
","1 = (2x - 3x)
|1 = ((2 - 3) * x)|((2 - 3) * x) = 1|-1x = 1|x = (-1)",11
102,131,"(1 - 2x) = -3x
","(1 - 2x) = -3x
|-3x = (1 - 2x)|-3x = (1 + -2x)|-3x = (-2x + 1)|-1x = (1 + 0)|-1x = 1|x = (-1)",8
103,133,"x = ((1 + 2) / 3)
","x = ((1 + 2) / 3)
|x = 1",4
104,134,"(-1) = ((-2) + -3x)
","(-1) = ((-2) + -3x)
|((-2) + -3x) = (-1)|-3x = 1|x = ([-1/3])",6
105,135,"(1 + (2 / x)) = 3
","(1 + (2 / x)) = 3
|(2 / x) = 2|((2 / x) * 2) = (2 * 2)|(2 * (2 / x)) = (2 * 2)|(2 * 2) = (2 * (2 / x))|(2 * 2) = ((2 * 2) / x)|((2 * 2) * x) = (((2 * 2) / x) * x)|((2 * 2) * x) = (x * ((2 * 2) / x))|(x * ((2 * 2) / x)) = ((2 * 2) * x)|(x * (2 * (2 / x))) = ((2 * 2) * x)|((x * 2) * (2 / x)) = ((2 * 2) * x)|(2x * (2 / x)) = ((2 * 2) * x)|((2 * 2) * x) = (2x * (2 / x))|4x = (2x * (2 / x))|4x = ((x * 2) * (2 / x))|4x = (((x * 2) * 2) / x)|4x = ((x * (2 * 2)) / x)|4x = (((2 * 2) * x) / x)|4x = ((2 * 2) * (x / x))|4x = ((2 * 2) * 1)|4x = 4|x = 1",40
106,136,"((-1) + 2x) = (3 + 4x)
","((-1) + 2x) = (3 + 4x)
|(2x + (-1)) = (3 + 4x)|(2x + (-1)) = (4x + 3)|((2x + (-1)) - (-1)) = ((4x + 3) - (-1))|2x = ((4x + 3) - (-1))|2x = (4x + (3 - (-1)))|-2x = ((3 - (-1)) + 0)|-2x = 4|x = (-2)",15
107,137,"((1 + 2x) + 3) = 4x
","((1 + 2x) + 3) = 4x
|4x = ((1 + 2x) + 3)|4x = ((2x + 1) + 3)|4x = (2x + (1 + 3))|2x = ((1 + 3) + 0)|2x = 4|x = 2",12
108,138,"(1 + 2x) = (3 + 4x)
","(1 + 2x) = (3 + 4x)
|(2x + 1) = (3 + 4x)|(2x + 1) = (4x + 3)|((2x + 1) - 1) = ((4x + 3) - 1)|2x = ((4x + 3) - 1)|2x = (4x + (3 - 1))|-2x = ((3 - 1) + 0)|-2x = 2|x = (-1)",15
109,139,"1x = ((-2) - 3x)
","1x = ((-2) - 3x)
|1x = ((-2) + -3x)|1x = (-3x + (-2))|4x = ((-2) + 0)|4x = (-2)|x = ([-1/2])",7
110,140,"(1x + 2) = (3x + 4)
","(1x + 2) = (3x + 4)
|((1x + 2) - 2) = ((3x + 4) - 2)|1x = ((3x + 4) - 2)|1x = (3x + (4 - 2))|-2x = ((4 - 2) + 0)|-2x = 2|x = (-1)",13
111,141,"(((-1) - 2x) + 3) = -4x
","(((-1) - 2x) + 3) = -4x
|-4x = (((-1) - 2x) + 3)|-4x = (((-1) + -2x) + 3)|-4x = ((-2x + (-1)) + 3)|-4x = (-2x + ((-1) + 3))|-2x = (((-1) + 3) + 0)|-2x = 2|x = (-1)",13
112,142,"((-1x + 2) - 3x) = (((-4) + 5x) - 6x)
","((-1x + 2) - 3x) = (((-4) + 5x) - 6x)
|((-1x + 2) - 3x) = ((5x + (-4)) - 6x)|((-1x + 2) + -3x) = ((5x + (-4)) - 6x)|(-3x + (-1x + 2)) = ((5x + (-4)) - 6x)|((-3x + -1x) + 2) = ((5x + (-4)) - 6x)|((5x + (-4)) - 6x) = ((-3x + -1x) + 2)|((5x + (-4)) + -6x) = ((-3x + -1x) + 2)|(5x + ((-4) + -6x)) = ((-3x + -1x) + 2)|(5x + (-6x + (-4))) = ((-3x + -1x) + 2)|((5x + (-6x + (-4))) - (-4)) = (((-3x + -1x) + 2) - (-4))|(5x + ((-6x + (-4)) - (-4))) = (((-3x + -1x) + 2) - (-4))|(5x + -6x) = (((-3x + -1x) + 2) - (-4))|((5 + (-6)) * x) = (((-3x + -1x) + 2) - (-4))|-1x = (((-3x + -1x) + 2) - (-4))|-1x = (((((-3) + (-1)) * x) + 2) - (-4))|-1x = ((-4x + 2) - (-4))|-1x = (-4x + (2 - (-4)))|3x = ((2 - (-4)) + 0)|3x = 6|x = 2",35
113,143,"(1x + 2) = ((-3) + -4x)
","(1x + 2) = ((-3) + -4x)
|(1x + 2) = (-4x + (-3))|((1x + 2) - 2) = ((-4x + (-3)) - 2)|1x = ((-4x + (-3)) - 2)|1x = (-4x + ((-3) - 2))|5x = (((-3) - 2) + 0)|5x = (-5)|x = (-1)",14
114,144,"((-1) + 2x) = ((-3) + -4x)
","((-1) + 2x) = ((-3) + -4x)
|(2x + (-1)) = ((-3) + -4x)|((2x + (-1)) - (-1)) = (((-3) + -4x) - (-1))|2x = (((-3) + -4x) - (-1))|2x = ((-4x + (-3)) - (-1))|2x = (-4x + ((-3) - (-1)))|6x = (((-3) - (-1)) + 0)|6x = (-2)|x = ([-1/3])",16
115,147,"((-1) - 2x) = -3x
","((-1) - 2x) = -3x
|-3x = ((-1) - 2x)|-3x = ((-1) + -2x)|-3x = (-2x + (-1))|-1x = ((-1) + 0)|-1x = (-1)|x = 1",8
116,148,"(1x + 2) = (-3x + 4)
","(1x + 2) = (-3x + 4)
|((1x + 2) - 2) = ((-3x + 4) - 2)|1x = ((-3x + 4) - 2)|1x = (-3x + (4 - 2))|4x = ((4 - 2) + 0)|4x = 2|x = [1/2]",14
117,150,"((1 + 2x) - 3) = 4x
","((1 + 2x) - 3) = 4x
|4x = ((1 + 2x) - 3)|4x = ((2x + 1) - 3)|4x = (2x + (1 - 3))|2x = ((1 - 3) + 0)|2x = (-2)|x = (-1)",12
118,151,"((-1) + -2x) = (3x + (-4))
","((-1) + -2x) = (3x + (-4))
|(-2x + (-1)) = (3x + (-4))|((-2x + (-1)) - (-1)) = ((3x + (-4)) - (-1))|-2x = ((3x + (-4)) - (-1))|-2x = (3x + ((-4) - (-1)))|-5x = (((-4) - (-1)) + 0)|-5x = (-3)|x = [3/5]",15
119,152,"(((-1) + 2x) + 3x) = ((4 + -5x) + 6x)
","(((-1) + 2x) + 3x) = ((4 + -5x) + 6x)
|(3x + ((-1) + 2x)) = ((4 + -5x) + 6x)|(3x + ((-1) + 2x)) = (6x + (4 + -5x))|(3x + (2x + (-1))) = (6x + (4 + -5x))|((3x + (2x + (-1))) - (-1)) = ((6x + (4 + -5x)) - (-1))|(3x + ((2x + (-1)) - (-1))) = ((6x + (4 + -5x)) - (-1))|(3x + 2x) = ((6x + (4 + -5x)) - (-1))|((3 + 2) * x) = ((6x + (4 + -5x)) - (-1))|5x = ((6x + (4 + -5x)) - (-1))|5x = (6x + ((4 + -5x) - (-1)))|-1x = (((4 + -5x) - (-1)) + 0)|-1x = (((-5x + 4) - (-1)) + 0)|-1x = ((-5x + (4 - (-1))) + 0)|-1x = (-5x + (4 - (-1)))|4x = ((4 - (-1)) + 0)|4x = 5|x = [5/4]",33
120,153,"-1x = ((-2) + 3)
","-1x = ((-2) + 3)
|-1x = 1|x = (-1)",3
121,155,"(-1) = (-2x + 3)
","(-1) = (-2x + 3)
|(-2x + 3) = (-1)|-2x = (-4)|x = 2",5
122,156,"(1 + 2x) = ((-3) + 4x)
","(1 + 2x) = ((-3) + 4x)
|(2x + 1) = ((-3) + 4x)|(2x + 1) = (4x + (-3))|((2x + 1) - 1) = ((4x + (-3)) - 1)|2x = ((4x + (-3)) - 1)|2x = (4x + ((-3) - 1))|-2x = (((-3) - 1) + 0)|-2x = (-4)|x = 2",15
123,157,"(1 + 2x) = (3 + -4x)
","(1 + 2x) = (3 + -4x)
|(2x + 1) = (3 + -4x)|(2x + 1) = (-4x + 3)|((2x + 1) - 1) = ((-4x + 3) - 1)|2x = ((-4x + 3) - 1)|2x = (-4x + (3 - 1))|6x = ((3 - 1) + 0)|6x = 2|x = [1/3]",16
124,159,"-1x = (2x - 3)
","-1x = (2x - 3)
|-1x = (2x + (-3))|-3x = ((-3) + 0)|-3x = (-3)|x = 1",5
125,160,"((1 + -2x) + 3x) = ((-4x + 5) + 6x)
","((1 + -2x) + 3x) = ((-4x + 5) + 6x)
|(3x + (1 + -2x)) = ((-4x + 5) + 6x)|(3x + (-2x + 1)) = ((-4x + 5) + 6x)|(3x + (-2x + 1)) = (6x + (-4x + 5))|(3x + (-2x + 1)) = ((6x + -4x) + 5)|(3x + (-2x + 1)) = (((6 + (-4)) * x) + 5)|((3x + (-2x + 1)) - 1) = ((((6 + (-4)) * x) + 5) - 1)|(3x + ((-2x + 1) - 1)) = ((((6 + (-4)) * x) + 5) - 1)|(3x + -2x) = ((((6 + (-4)) * x) + 5) - 1)|((3 + (-2)) * x) = ((((6 + (-4)) * x) + 5) - 1)|1x = ((((6 + (-4)) * x) + 5) - 1)|1x = ((2x + 5) - 1)|1x = (2x + (5 - 1))|-1x = ((5 - 1) + 0)|-1x = 4|x = (-4)",31
126,161,"((-1) + -2x) = (3x + 4)
","((-1) + -2x) = (3x + 4)
|(-2x + (-1)) = (3x + 4)|((-2x + (-1)) - (-1)) = ((3x + 4) - (-1))|-2x = ((3x + 4) - (-1))|-2x = (3x + (4 - (-1)))|-5x = ((4 - (-1)) + 0)|-5x = 5|x = (-1)",14
127,162,"(1x + (-2)) = (3x + (-4))
","(1x + (-2)) = (3x + (-4))
|((1x + (-2)) - (-2)) = ((3x + (-4)) - (-2))|1x = ((3x + (-4)) - (-2))|1x = (3x + ((-4) - (-2)))|-2x = (((-4) - (-2)) + 0)|-2x = (-2)|x = 1",13
128,165,"(-1x - 2) = (3 - 4x)
","(-1x - 2) = (3 - 4x)
|(-1x - 2) = (3 + -4x)|((-1x - 2) + 2) = ((3 + -4x) + 2)|((-1x + (-2)) + 2) = ((3 + -4x) + 2)|-1x = ((3 + -4x) + 2)|-1x = ((-4x + 3) + 2)|-1x = (-4x + (3 + 2))|3x = ((3 + 2) + 0)|3x = 5|x = [5/3]",17
129,166,"-1x = ((2 + -3x) - 4)
","-1x = ((2 + -3x) - 4)
|-1x = ((-3x + 2) - 4)|-1x = (-3x + (2 - 4))|2x = ((2 - 4) + 0)|2x = (-2)|x = (-1)",8
130,167,"1 = (-2x + (-3))
","1 = (-2x + (-3))
|(-2x + (-3)) = 1|-2x = 4|x = (-2)",5
131,168,"(1 - 2) = (-3x - 4x)
","(1 - 2) = (-3x - 4x)
|(1 - 2) = (((-3) - 4) * x)|(((-3) - 4) * x) = (1 - 2)|-7x = (1 - 2)|-7x = (-1)|x = [1/7]",12
132,169,"((-1) - 2) = -3x
","((-1) - 2) = -3x
|-3x = ((-1) - 2)|-3x = (-3)|x = 1",5
133,170,"1 = (-2x + 3)
","1 = (-2x + 3)
|(-2x + 3) = 1|-2x = (-2)|x = 1",5
134,172,"(-1) = (2x + 3)
","(-1) = (2x + 3)
|(2x + 3) = (-1)|2x = (-4)|x = (-2)",5
135,173,"1 = 2x
","1 = 2x
|2x = 1|x = [1/2]",3
136,174,"(1 - 2) = -3x
","(1 - 2) = -3x
|-3x = (1 - 2)|-3x = (-1)|x = [1/3]",6
137,175,"(1 + 2x) = -3x
","(1 + 2x) = -3x
|-3x = (1 + 2x)|-3x = (2x + 1)|-5x = (1 + 0)|-5x = 1|x = ([-1/5])",8
138,176,"(1x - 2) = 3x
","(1x - 2) = 3x
|3x = (1x - 2)|3x = (1x + (-2))|2x = ((-2) + 0)|2x = (-2)|x = (-1)",7
139,177,"(1x / x) = 2x
","(1x / x) = 2x
|((1x / x) * 1) = (2x * 1)|((1x / x) * 1) = (1 * 2x)|(1x / x) = (1 * 2x)|(x / x) = (1 * 2x)|1 = (1 * 2x)|(1 * 2x) = 1|2x = 1|x = [1/2]",14
140,178,"(-1x + (-2)) = (3x + 4)
","(-1x + (-2)) = (3x + 4)
|((-1x + (-2)) - (-2)) = ((3x + 4) - (-2))|-1x = ((3x + 4) - (-2))|-1x = (3x + (4 - (-2)))|-4x = ((4 - (-2)) + 0)|-4x = 6|x = ([-3/2])",14
141,179,"((1x - 2) + 3) = 4x
","((1x - 2) + 3) = 4x
|4x = ((1x - 2) + 3)|4x = ((1x + (-2)) + 3)|4x = (1x + ((-2) + 3))|3x = (((-2) + 3) + 0)|3x = 1|x = [1/3]",13
142,180,"(-1) = ((2x + 3) + 4x)
","(-1) = ((2x + 3) + 4x)
|(-1) = (2x + (3 + 4x))|(-1) = (2x + (4x + 3))|(-1) = ((2x + 4x) + 3)|(-1) = (((2 + 4) * x) + 3)|(-1) = (6x + 3)|(6x + 3) = (-1)|6x = (-4)|x = ([-2/3])",17
143,181,"(1x + 2) = (3x + (-4))
","(1x + 2) = (3x + (-4))
|((1x + 2) - 2) = ((3x + (-4)) - 2)|1x = ((3x + (-4)) - 2)|1x = (3x + ((-4) - 2))|-2x = (((-4) - 2) + 0)|-2x = (-6)|x = 3",13
144,182,"(1 + -2x) = (3x + 4)
","(1 + -2x) = (3x + 4)
|(-2x + 1) = (3x + 4)|((-2x + 1) - 1) = ((3x + 4) - 1)|-2x = ((3x + 4) - 1)|-2x = (3x + (4 - 1))|-5x = ((4 - 1) + 0)|-5x = 3|x = ([-3/5])",15
145,183,"(((-1) + 2x) + 3) = ((4 + 5x) + 6)
","(((-1) + 2x) + 3) = ((4 + 5x) + 6)
|((2x + (-1)) + 3) = ((4 + 5x) + 6)|(2x + ((-1) + 3)) = ((4 + 5x) + 6)|(2x + 2) = ((4 + 5x) + 6)|(2x + 2) = ((5x + 4) + 6)|((2x + 2) - 2) = (((5x + 4) + 6) - 2)|2x = (((5x + 4) + 6) - 2)|2x = ((5x + (4 + 6)) - 2)|2x = (5x + ((4 + 6) - 2))|2x = (5x + 8)|-3x = (8 + 0)|-3x = 8|x = ([-8/3])",22
146,185,"1x = (-2)
","1x = (-2)
|x = (-2)",1
147,186,"((-1x + (-2)) - 3) = 4x
","((-1x + (-2)) - 3) = 4x
|4x = ((-1x + (-2)) - 3)|4x = (-1x + ((-2) - 3))|5x = (((-2) - 3) + 0)|5x = (-5)|x = (-1)",11
148,187,"1x = (2 - 3)
","1x = (2 - 3)
|1x = (-1)|x = (-1)",3
149,188,"((-1) + -2x) = ((-3) + 4x)
","((-1) + -2x) = ((-3) + 4x)
|(-2x + (-1)) = ((-3) + 4x)|((-2x + (-1)) - (-1)) = (((-3) + 4x) - (-1))|((-2x + (-1)) - (-1)) = ((4x + (-3)) - (-1))|-2x = ((4x + (-3)) - (-1))|-2x = (4x + ((-3) - (-1)))|-6x = (((-3) - (-1)) + 0)|-6x = (-2)|x = [1/3]",16
150,189,"(-1) = (-2x + (-3))
","(-1) = (-2x + (-3))
|(-2x + (-3)) = (-1)|-2x = 2|x = (-1)",5
151,190,"(-1x + (-2)) = 3
","(-1x + (-2)) = 3
|-1x = 5|x = (-5)",3
152,191,"(1x + 2) = (3 + 4x)
","(1x + 2) = (3 + 4x)
|(1x + 2) = (4x + 3)|((1x + 2) - 2) = ((4x + 3) - 2)|1x = ((4x + 3) - 2)|1x = (4x + (3 - 2))|-3x = ((3 - 2) + 0)|-3x = 1|x = ([-1/3])",15
153,192,"((1x + 2) + 3x) = 4
","((1x + 2) + 3x) = 4
|((3x + (1x + 2)) - 2) = 2|(((3x + 1x) + 2) - 2) = 2|(3x + 1x) = 2|((3 + 1) * x) = 2|4x = 2|x = [1/2]",15
154,193,"(-1x + 2) = (-3x - 4)
","(-1x + 2) = (-3x - 4)
|((-1x + 2) - 2) = ((-3x - 4) - 2)|((-1x + 2) - 2) = ((-3x + (-4)) - 2)|-1x = ((-3x + (-4)) - 2)|-1x = (-3x + ((-4) - 2))|2x = (((-4) - 2) + 0)|2x = (-6)|x = (-3)",14
155,194,"1 = ((-2x + 3) + 4x)
","1 = ((-2x + 3) + 4x)
|1 = (4x + (-2x + 3))|1 = ((4x + -2x) + 3)|1 = (((4 + (-2)) * x) + 3)|1 = (2x + 3)|(2x + 3) = 1|2x = (-2)|x = (-1)",15
156,195,"(1 + -2x) = (-3x + 4)
","(1 + -2x) = (-3x + 4)
|(-2x + 1) = (-3x + 4)|((-2x + 1) - 1) = ((-3x + 4) - 1)|-2x = ((-3x + 4) - 1)|-2x = (-3x + (4 - 1))|1x = ((4 - 1) + 0)|1x = 3|x = 3",14
157,196,"-1x = (2 - 3)
","-1x = (2 - 3)
|-1x = (-1)|x = 1",3
158,200,"(1 + 2x) = (-3x + (-4))
","(1 + 2x) = (-3x + (-4))
|(2x + 1) = (-3x + (-4))|((2x + 1) - 1) = ((-3x + (-4)) - 1)|2x = ((-3x + (-4)) - 1)|2x = (-3x + ((-4) - 1))|5x = (((-4) - 1) + 0)|5x = (-5)|x = (-1)",14
159,201,"(-1) = (2x - 3)
","(-1) = (2x - 3)
|(-1) = (2x + (-3))|(2x + (-3)) = (-1)|2x = 2|x = 1",6
160,202,"-1x = ((-2x + 3) + 4)
","-1x = ((-2x + 3) + 4)
|-1x = (-2x + (3 + 4))|1x = ((3 + 4) + 0)|1x = 7|x = 7",7
161,203,"((1 - 2x) - 3) = ((4 + 5x) - 6)
","((1 - 2x) - 3) = ((4 + 5x) - 6)
|((1 + -2x) - 3) = ((4 + 5x) - 6)|((-2x + 1) - 3) = ((4 + 5x) - 6)|((-2x + 1) - 3) = ((5x + 4) - 6)|(((-2x + 1) - 3) - 4) = (((5x + 4) - 6) - 4)|(((-2x + 1) - 3) - 4) = (((5x + 4) - 4) - 6)|(((-2x + 1) - 3) - 4) = ((5x + (4 - 4)) - 6)|(((-2x + 1) - 3) - 4) = ((5x + 0) - 6)|(((-2x + 1) - 3) - 4) = (5x + (0 - 6))|(5x + (0 - 6)) = (((-2x + 1) - 3) - 4)|(5x + (-6)) = (((-2x + 1) - 3) - 4)|((5x + (-6)) - (-6)) = ((((-2x + 1) - 3) - 4) - (-6))|5x = ((((-2x + 1) - 3) - 4) - (-6))|5x = (((-2x + (1 - 3)) - 4) - (-6))|5x = ((-2x + ((1 - 3) - 4)) - (-6))|5x = (-2x + (((1 - 3) - 4) - (-6)))|5x = (-2x + ((-6) - (-6)))|7x = (((-6) - (-6)) + 0)|7x = 0|x = 0",35
162,204,"(1x + (-2)) = (3 + 4x)
","(1x + (-2)) = (3 + 4x)
|(1x + (-2)) = (4x + 3)|((1x + (-2)) - (-2)) = ((4x + 3) - (-2))|1x = ((4x + 3) - (-2))|1x = (4x + (3 - (-2)))|-3x = ((3 - (-2)) + 0)|-3x = 5|x = ([-5/3])",15
163,205,"(((-1) + 2x) + 3) = (4 + 5)
","(((-1) + 2x) + 3) = (4 + 5)
|((2x + (-1)) + 3) = (4 + 5)|(2x + ((-1) + 3)) = (4 + 5)|(2x + ((-1) + 3)) = 9|(2x + 2) = 9|2x = 7|x = [7/2]",10
164,206,"((-1x + 2) + 3x) = (((-4) - 5x) + 6x)
","((-1x + 2) + 3x) = (((-4) - 5x) + 6x)
|((-1x + 2) + 3x) = (((-4) + -5x) + 6x)|((-1x + 2) + 3x) = (6x + ((-4) + -5x))|(3x + (-1x + 2)) = (6x + ((-4) + -5x))|(3x + (2 + -1x)) = (6x + ((-4) + -5x))|(3x + (2 + -1x)) = (6x + (-5x + (-4)))|(3x + (2 + -1x)) = ((6x + -5x) + (-4))|(3x + (2 + -1x)) = (((6 + (-5)) * x) + (-4))|(3x + (2 + -1x)) = ((((-5) + 6) * x) + (-4))|(3x + (-1x + 2)) = ((((-5) + 6) * x) + (-4))|((3x + (-1x + 2)) - 2) = (((((-5) + 6) * x) + (-4)) - 2)|(3x + ((-1x + 2) - 2)) = (((((-5) + 6) * x) + (-4)) - 2)|(3x + -1x) = (((((-5) + 6) * x) + (-4)) - 2)|((3 + (-1)) * x) = (((((-5) + 6) * x) + (-4)) - 2)|2x = (((((-5) + 6) * x) + (-4)) - 2)|2x = ((1x + (-4)) - 2)|2x = (1x + ((-4) - 2))|1x = (((-4) - 2) + 0)|1x = (-6)|x = (-6)",35
165,207,"(-1) = (-2x - 3)
","(-1) = (-2x - 3)
|(-1) = (-2x + (-3))|(-2x + (-3)) = (-1)|-2x = 2|x = (-1)",6
166,208,"((1x + 2) - 3x) = (4x - 5x)
","((1x + 2) - 3x) = (4x - 5x)
|(4x - 5x) = ((1x + 2) - 3x)|((4 - 5) * x) = ((1x + 2) - 3x)|-1x = ((1x + 2) - 3x)|-1x = ((1x + 2) + -3x)|-1x = (-3x + (1x + 2))|2x = ((1x + 2) + 0)|2x = (1x + 2)|1x = (2 + 0)|1x = 2|x = 2",19
167,209,"(-1) = (2 + -3x)
","(-1) = (2 + -3x)
|(-1) = (-3x + 2)|(-3x + 2) = (-1)|-3x = (-3)|x = 1",6
168,210,"1x = (2 + 3x)
","1x = (2 + 3x)
|1x = (3x + 2)|-2x = (2 + 0)|-2x = 2|x = (-1)",5
169,211,"((-1) + 2x) = (3x + 4)
","((-1) + 2x) = (3x + 4)
|(2x + (-1)) = (3x + 4)|((2x + (-1)) - (-1)) = ((3x + 4) - (-1))|2x = ((3x + 4) - (-1))|2x = (3x + (4 - (-1)))|-1x = ((4 - (-1)) + 0)|-1x = 5|x = (-5)",14
170,212,"(-1x + (-2)) = (3 + 4x)
","(-1x + (-2)) = (3 + 4x)
|(-1x + (-2)) = (4x + 3)|(4x + 3) = (-1x + (-2))|((4x + 3) - 3) = ((-1x + (-2)) - 3)|4x = ((-1x + (-2)) - 3)|4x = (-1x + ((-2) - 3))|5x = (((-2) - 3) + 0)|5x = (-5)|x = (-1)",15
171,213,"(-1) = ((2x - 3) + 4x)
","(-1) = ((2x - 3) + 4x)
|((-1) + 3) = (((2x - 3) + 4x) + 3)|(((-1) + 3) - 3) = ((((2x - 3) + 4x) + 3) - 3)|(((-1) + 3) - 3) = ((((2x + (-3)) + 4x) + 3) - 3)|(((-1) + 3) - 3) = (((4x + (2x + (-3))) + 3) - 3)|(((-1) + 3) - 3) = ((((4x + 2x) + (-3)) + 3) - 3)|(((-1) + 3) - 3) = (((((4 + 2) * x) + (-3)) + 3) - 3)|(((-1) + 3) - 3) = (((6x + (-3)) + 3) - 3)|(((-1) + 3) - 3) = ((6x + ((-3) + 3)) - 3)|(((-1) + 3) - 3) = ((6x + 0) - 3)|((6x + 0) - 3) = (((-1) + 3) - 3)|((6x + 0) - 3) = (-1)|(6x + 0) = 2|6x = 2|x = [1/3]",29
172,215,"(1 + 2x) = (3x + (-4))
","(1 + 2x) = (3x + (-4))
|(2x + 1) = (3x + (-4))|((2x + 1) - 1) = ((3x + (-4)) - 1)|2x = ((3x + (-4)) - 1)|2x = (3x + ((-4) - 1))|-1x = (((-4) - 1) + 0)|-1x = (-5)|x = 5",14
173,216,"((-1x - 2) + 3x) = 4
","((-1x - 2) + 3x) = 4
|((3x + (-1x - 2)) - 2) = 2|((3x + (-1x + (-2))) - 2) = 2|(3x + ((-1x + (-2)) - 2)) = 2|(3x + (-1x + ((-2) - 2))) = 2|((3x + -1x) + ((-2) - 2)) = 2|(((3 + (-1)) * x) + ((-2) - 2)) = 2|(2x + ((-2) - 2)) = 2|(2x + (-4)) = 2|2x = 6|x = 3",19
174,217,"(1 + -2x) = (3x + (-4))
","(1 + -2x) = (3x + (-4))
|(-2x + 1) = (3x + (-4))|((-2x + 1) - 1) = ((3x + (-4)) - 1)|-2x = ((3x + (-4)) - 1)|-2x = (3x + ((-4) - 1))|-5x = (((-4) - 1) + 0)|-5x = (-5)|x = 1",14
175,218,"1 = ((-2) + 3x)
","1 = ((-2) + 3x)
|1 = (3x + (-2))|(3x + (-2)) = 1|3x = 3|x = 1",6
176,219,"(1 + 2x) = (-3)
","(1 + 2x) = (-3)
|2x = (-4)|x = (-2)",3
177,222,"((-1) - 2x) = (-3x - 4)
","((-1) - 2x) = (-3x - 4)
|((-1) + -2x) = (-3x - 4)|(-2x + (-1)) = (-3x - 4)|((-2x + (-1)) - (-1)) = ((-3x - 4) - (-1))|-2x = ((-3x - 4) - (-1))|-2x = ((-3x + (-4)) - (-1))|-2x = (-3x + ((-4) - (-1)))|1x = (((-4) - (-1)) + 0)|1x = (-3)|x = (-3)",16
178,224,"(1x + 2) = 3
","(1x + 2) = 3
|x = 1",2
179,226,"1 = (2 + -3x)
","1 = (2 + -3x)
|1 = (-3x + 2)|(-3x + 2) = 1|-3x = (-1)|x = [1/3]",7
180,227,"((-1) - 2x) = ((-3) - 4x)
","((-1) - 2x) = ((-3) - 4x)
|((-1) - 2x) = ((-3) + -4x)|((-1) + -2x) = ((-3) + -4x)|(-2x + (-1)) = ((-3) + -4x)|((-2x + (-1)) - (-1)) = (((-3) + -4x) - (-1))|-2x = (((-3) + -4x) - (-1))|-2x = ((-4x + (-3)) - (-1))|-2x = (-4x + ((-3) - (-1)))|2x = (((-3) - (-1)) + 0)|2x = (-2)|x = (-1)",17
181,228,"(-1x + (-2)) = (3x + (-4))
","(-1x + (-2)) = (3x + (-4))
|((-1x + (-2)) - (-2)) = ((3x + (-4)) - (-2))|-1x = ((3x + (-4)) - (-2))|-1x = (3x + ((-4) - (-2)))|-4x = (((-4) - (-2)) + 0)|-4x = (-2)|x = [1/2]",14
182,229,"(-1) = (-2x + 3x)
","(-1) = (-2x + 3x)
|(-1) = (((-2) + 3) * x)|(((-2) + 3) * x) = (-1)|1x = (-1)|x = (-1)",11
